18573312	18575359	内蒙古联通
18575360	18584575	内蒙古通辽市联通
18584576	18585599	内蒙古呼伦贝尔市联通
18585600	18591743	内蒙古兴安盟联通
18591744	18600959	内蒙古赤峰市联通
18600960	18608127	内蒙古呼伦贝尔市联通
18608128	18609151	内蒙古通辽市联通
18609152	18610175	内蒙古联通
18610176	18611199	内蒙古兴安盟联通
18611200	18612223	内蒙古联通
18612224	18616319	内蒙古包头市联通
18616320	18620415	内蒙古乌兰察布市联通
18620416	18628607	内蒙古呼和浩特市联通
18628608	18630655	内蒙古联通
18630656	18631679	内蒙古通辽市联通
18631680	18632703	内蒙古包头市联通
18632704	18634751	内蒙古乌海市联通
18634752	18636799	内蒙古联通
18636800	18640895	内蒙古呼和浩特市联通
18640896	18641919	内蒙古包头市联通
18641920	18646015	内蒙古联通
18646016	18647039	内蒙古呼和浩特市联通
18647040	18651135	内蒙古联通
18651136	18652159	内蒙古乌海市联通
18652160	18653183	内蒙古乌兰察布市联通
18653184	18655231	内蒙古乌海市联通
18655232	18658303	内蒙古联通
18658304	18659327	内蒙古呼和浩特市联通
18659328	18674687	内蒙古包头市联通
18674688	18675711	内蒙古乌海市联通
18675712	18677759	内蒙古包头市联通
18677760	18718207	内蒙古联通
18718208	18718463	内蒙古赤峰市联通
18718464	18874367	内蒙古联通
18874368	18939903	香港
18939904	19005439	日本东京都港区西新橋NTTPC有限公司
19005440	19136511	台湾省中华电信股份有限公司
19136512	19202047	香港电讯盈科有限公司
19202048	19267583	菲律宾
19267584	19398655	印度
19398656	19726335	澳大利亚
19726336	19791871	北京市万网志成科技有限公司
19791872	19922943	泰国
19922944	20031231	贵州省贵阳市电信
20031232	20031487	贵州省黔西南州兴义市电信
20031488	20036863	贵州省贵阳市电信
20036864	20037119	贵州省黔南州都匀市电信
20037120	20037631	贵州省贵阳市电信
20037632	20054015	贵州省安顺市电信
20054016	20119551	宁夏电信
20119552	20148223	江苏省教育网
20148224	20150271	安徽省滁州市滁州职业技术学院
20150272	20152319	安徽省合肥市合肥师范学院
20152320	20185087	江苏省教育网
20185088	20447231	越南河内
20447232	20455423	黑龙江省鹤岗市联通
20455424	20472319	黑龙江省哈尔滨市联通
20472320	20472575	黑龙江省哈尔滨市依兰县联通
20472576	20479999	黑龙江省哈尔滨市联通
20480000	20512767	黑龙江省牡丹江市联通
20512768	20520959	黑龙江省绥化市联通
20520960	20521215	黑龙江省绥化市望奎县联通
20521216	20528895	黑龙江省绥化市联通
20528896	20529151	黑龙江省绥化市北林区联通
20529152	20537855	黑龙江省齐齐哈尔市联通
20537856	20538111	黑龙江省齐齐哈尔市讷河市联通
20538112	20546047	黑龙江省齐齐哈尔市联通
20546048	20554495	黑龙江省双鸭山市联通
20554496	20562687	黑龙江省齐齐哈尔市联通
20562688	20562943	黑龙江省鸡西市虎林市联通
